Treatment.;Repetition;Replicate;spots per fruit;r.s.spots
Control;1;1;33;5,744562647
Control;1;1;32;5,656854249
Control;1;1;40;6,32455532
Control;1;1;22;4,69041576
Control;1;1;16;4
Control;1;2;16;4
Control;1;2;6;2,449489743
Control;1;2;14;3,741657387
Control;1;2;41;6,403124237
Control;1;2;30;5,477225575
Control;1;3;33;5,744562647
Control;1;3;24;4,898979486
Control;1;3;29;5,385164807
Control;1;3;30;5,477225575
Control;1;3;20;4,472135955
Control;1;4;22;4,69041576
Control;1;4;34;5,830951895
Control;1;4;32;5,656854249
Control;1;4;21;4,582575695
Control;1;4;26;5,099019514
Bellis;1;1;0;0
Bellis;1;1;5;2,236067977
Bellis;1;1;4;2
Bellis;1;1;4;2
Bellis;1;1;2;1,414213562
Bellis;1;2;2;1,414213562
Bellis;1;2;5;2,236067977
Bellis;1;2;6;2,449489743
Bellis;1;2;5;2,236067977
Bellis;1;2;7;2,645751311
Bellis;1;3;4;2
Bellis;1;3;0;0
Bellis;1;3;8;2,828427125
Bellis;1;3;2;1,414213562
Bellis;1;3;7;2,645751311
Bellis;1;4;6;2,449489743
Bellis;1;4;5;2,236067977
Bellis;1;4;8;2,828427125
Bellis;1;4;3;1,732050808
Bellis;1;4;4;2
Merpan;1;1;3;1,732050808
Merpan;1;1;8;2,828427125
Merpan;1;1;3;1,732050808
Merpan;1;1;10;3,16227766
Merpan;1;1;3;1,732050808
Merpan;1;2;7;2,645751311
Merpan;1;2;3;1,732050808
Merpan;1;2;3;1,732050808
Merpan;1;2;3;1,732050808
Merpan;1;2;11;3,31662479
Merpan;1;3;9;3
Merpan;1;3;10;3,16227766
Merpan;1;3;8;2,828427125
Merpan;1;3;5;2,236067977
Merpan;1;3;4;2
Merpan;1;4;7;2,645751311
Merpan;1;4;2;1,414213562
Merpan;1;4;3;1,732050808
Merpan;1;4;0;0
Merpan;1;4;4;2
Timorex;1;1;18;4,242640687
Timorex;1;1;23;4,795831523
Timorex;1;1;16;4
Timorex;1;1;13;3,605551275
Timorex;1;1;24;4,898979486
Timorex;1;2;10;3,16227766
Timorex;1;2;17;4,123105626
Timorex;1;2;5;2,236067977
Timorex;1;2;24;4,898979486
Timorex;1;2;26;5,099019514
Timorex;1;3;37;6,08276253
Timorex;1;3;35;5,916079783
Timorex;1;3;24;4,898979486
Timorex;1;3;10;3,16227766
Timorex;1;3;8;2,828427125
Timorex;1;4;5;2,236067977
Timorex;1;4;10;3,16227766
Timorex;1;4;13;3,605551275
Timorex;1;4;17;4,123105626
Timorex;1;4;15;3,872983346
Ziram;1;1;5;2,236067977
Ziram;1;1;5;2,236067977
Ziram;1;1;7;2,645751311
Ziram;1;1;19;4,358898944
Ziram;1;1;5;2,236067977
Ziram;1;2;7;2,645751311
Ziram;1;2;3;1,732050808
Ziram;1;2;2;1,414213562
Ziram;1;2;8;2,828427125
Ziram;1;2;7;2,645751311
Ziram;1;3;1;1
Ziram;1;3;4;2
Ziram;1;3;6;2,449489743
Ziram;1;3;5;2,236067977
Ziram;1;3;4;2
Ziram;1;4;2;1,414213562
Ziram;1;4;4;2
Ziram;1;4;0;0
Ziram;1;4;3;1,732050808
